====== Start Time ======
2021-08-20-16:08:57-CST

phc2sys[330775.422]: clock set to insert leap second at midnight (UTC)
phc2sys[330842.431]: CLOCK_REALTIME phc offset        -3 s2 freq   -2487 delay   1266
phc2sys[330843.431]: CLOCK_REALTIME phc offset        -3 s2 freq   -2488 delay   1270
phc2sys[330844.431]: CLOCK_REALTIME phc offset         4 s2 freq   -2482 delay   1242
phc2sys[330845.431]: CLOCK_REALTIME phc offset       -12 s2 freq   -2497 delay   1247
phc2sys[330846.431]: CLOCK_REALTIME phc offset         7 s2 freq   -2481 delay   1244
phc2sys[330847.432]: CLOCK_REALTIME phc offset         6 s2 freq   -2480 delay   1241
phc2sys[330848.432]: CLOCK_REALTIME phc offset        -6 s2 freq   -2490 delay   1244
phc2sys[330849.432]: CLOCK_REALTIME phc offset         8 s2 freq   -2478 delay   1249
phc2sys[330850.432]: CLOCK_REALTIME phc offset        -3 s2 freq   -2487 delay   1241
phc2sys[330851.432]: CLOCK_REALTIME phc offset        -7 s2 freq   -2492 delay   1242
phc2sys[330852.432]: CLOCK_REALTIME phc offset        12 s2 freq   -2475 delay   1250
phc2sys[330853.432]: CLOCK_REALTIME phc offset       -17 s2 freq   -2500 delay   1250
phc2sys[330854.432]: CLOCK_REALTIME phc offset        10 s2 freq   -2478 delay   1258
phc2sys[330855.433]: CLOCK_REALTIME phc offset         0 s2 freq   -2485 delay   1240
phc2sys[330856.433]: CLOCK_REALTIME phc offset       -18 s2 freq   -2503 delay   1271
phc2sys[330857.433]: CLOCK_REALTIME phc offset        15 s2 freq   -2476 delay   1262
phc2sys[330858.433]: CLOCK_REALTIME phc offset        10 s2 freq   -2476 delay   1255
phc2sys[330859.433]: CLOCK_REALTIME phc offset         3 s2 freq   -2480 delay   1271
phc2sys[330860.433]: CLOCK_REALTIME phc offset       -12 s2 freq   -2494 delay   1241
phc2sys[330861.433]: CLOCK_REALTIME phc offset        -4 s2 freq   -2490 delay   1246
phc2sys[330862.434]: CLOCK_REALTIME phc offset         7 s2 freq   -2480 delay   1248
phc2sys[330863.434]: CLOCK_REALTIME phc offset       -13 s2 freq   -2498 delay   1272
phc2sys[330864.434]: CLOCK_REALTIME phc offset        17 s2 freq   -2472 delay   1237
phc2sys[330865.434]: CLOCK_REALTIME phc offset       -12 s2 freq   -2496 delay   1283
phc2sys[330866.434]: CLOCK_REALTIME phc offset         7 s2 freq   -2480 delay   1240
phc2sys[330867.434]: CLOCK_REALTIME phc offset         0 s2 freq   -2485 delay   1252
phc2sys[330868.434]: CLOCK_REALTIME phc offset        -3 s2 freq   -2488 delay   1245
phc2sys[330869.434]: CLOCK_REALTIME phc offset        14 s2 freq   -2472 delay   1258
phc2sys[330870.434]: CLOCK_REALTIME phc offset       -13 s2 freq   -2495 delay   1276
